DateTime,SKU,Name,Brand,Average Rating,Rating Count,Sponsered,Price,Sales Price,Express,Rank,Link
2024-11-15 14:59:05,Z4930541339681E5E710EZ,Anmi Wellness Pull Rope Obstruction BandBe Suitable For Yoga Exercise Pilates Fitness Training (11 Pieces),Anmi,None,None,N,98,27.40,Y,56,"https://www.noon.com/uae-en/wellness-pull-rope-obstruction-bandbe-suitable-for-yoga-exercise-pilates-fitness-training-11-pieces/Z4930541339681E5E710EZ/p/?o=z4930541339681e5e710ez-1
"
2024-11-15 14:59:05,Z183968CF0AD1BA3C3868Z,GROIC Women's Seamless Workout Sets 2 Pieces Outfit High Waist Gym Shorts Sports Bra Activewear Sets for Yoga Workout,GROIC,"5.0
4",4,N,200,54.45,Y,57,"https://www.noon.com/uae-en/women-s-seamless-workout-sets-2-pieces-outfit-high-waist-gym-shorts-sports-bra-activewear-sets-for-yoga-workout/Z183968CF0AD1BA3C3868Z/p/?o=z183968cf0ad1ba3c3868z-1
"
2024-11-15 14:59:05,N39802894A,Kanteen Store Anti-Burst Yoga Ball With Hand Pump 75cm,Kanteen,"4.2
15",15,N,160,48.95,Y,58,"https://www.noon.com/uae-en/anti-burst-yoga-ball-with-hand-pump-75cm/N39802894A/p/?o=bb790ca16230a70f
"
2024-11-15 14:59:05,Z8AA76A37502FFA504022Z,"RIOXS Sit-up Bar With Yoga Mat,Adjustable Push-up Bar With Non-slip Mat For Yoga Pilates Fitness,Portable Sit-up Equipment,Multifunction Abdominal Exercise,Floor Mounted Sit Up Device",RIOXS,None,None,N,95,64.80,Y,59,"https://www.noon.com/uae-en/sit-up-bar-with-yoga-mat-adjustable-push-up-bar-with-non-slip-mat-for-yoga-pilates-fitness-portable-sit-up-equipment-multifunction-abdominal-exercise-floor-mounted-sit-up-device/Z8AA76A37502FFA504022Z/p/?o=z8aa76a37502ffa504022z-1
"
2024-11-15 14:59:05,ZFC6410827ACE4503A666Z,BORTONY Everyday Essentials Extra Thick High-Density Anti-Tear Exercise Yoga Mat with Carrying Strap,BORTONY,None,None,N,None,45,Y,60,"https://www.noon.com/uae-en/everyday-essentials-extra-thick-high-density-anti-tear-exercise-yoga-mat-with-carrying-strap/ZFC6410827ACE4503A666Z/p/?o=zfc6410827ace4503a666z-1
"
2024-11-15 14:59:05,ZF098AC350172402D4A04Z,"GROIC 2 PCs Cooling Towels Outdoors Sports Breathable Towel Workout,  Quick-Drying Sports Towel for Gym, Fitness, Golf, Yoga, Camping, Hiking, Travel, Outdoor Activities,30*100 CM",GROIC,"3.7
3",3,N,200,55.65,Y,61,"https://www.noon.com/uae-en/2-pcs-cooling-towels-outdoors-sports-breathable-towel-workout-quick-drying-sports-towel-for-gym-fitness-golf-yoga-camping-hiking-travel-outdoor-activities-30-100-cm/ZF098AC350172402D4A04Z/p/?o=zf098ac350172402d4a04z-1
"
2024-11-15 14:59:05,ZD0F9EADF94C847916735Z,"Generic Pilates Ring, Magic Circle Pilates Ring 35.5CM For Thigh Exercise, Home Pilates Equipment For Women, Pilates Ring Gym Equipment Thigh Master",Generic,None,None,N,80,64,Y,62,"https://www.noon.com/uae-en/pilates-ring-magic-circle-pilates-ring-35-5cm-for-thigh-exercise-home-pilates-equipment-for-women-pilates-ring-gym-equipment-thigh-master/ZD0F9EADF94C847916735Z/p/?o=zd0f9eadf94c847916735z-1
"
2024-11-15 14:59:05,Z07636371645FF3844EEAZ,Made2Motivate Sensory Compression Swing for Kids with Special Needs | Sensory Compression Swing - A Therapeutic and Calming Solution for Sensory Processing Disorder,Made2Motivate,None,None,N,None,250,Y,63,"https://www.noon.com/uae-en/sensory-compression-swing-for-kids-with-special-needs-sensory-compression-swing-a-therapeutic-and-calming-solution-for-sensory-processing-disorder/Z07636371645FF3844EEAZ/p/?o=z07636371645ff3844eeaz-1
"
2024-11-15 14:59:05,ZF505C31DB617F88976EAZ,Generic Yoga Strap,Generic,"5.0
3",3,N,None,25.95,Y,64,"https://www.noon.com/uae-en/yoga-strap/ZF505C31DB617F88976EAZ/p/?o=zf505c31db617f88976eaz-1
"
2024-11-15 14:59:05,N16529622A,body heart Yoga Ball With Air Pump - 75 cm 75cm 75cm,body,"4.2
159",159,N,None,38.10,none,65,"https://www.noon.com/uae-en/yoga-ball-with-air-pump-75-cm-75cm-75cm/N16529622A/p/?o=d15b61db501d74ba
"
2024-11-15 14:59:05,N14082692A,Generic Pilates Yoga Stretch Resistance Band,Generic,"4.4
111",111,N,None,18,Y,66,"https://www.noon.com/uae-en/pilates-yoga-stretch-resistance-band/N14082692A/p/?o=befba396496357ac
"
